Price,Road Tax,COE Left,Mileage,OMV,COE Price,Curb Weight,No. Of Owners
199900,1202,2198,60000,50492,10.640771228584159,1785,1
111888,742,2558,68825,18936,10.718608973370925,1280,4
1088800,3552,3198,5000,229837,11.314486721293981,1715,1
98800,2382,607,123000,76072,11.17757859488649,1790,2
51800,738,1126,95000,12352,10.871763339476235,1345,2
135500,1202,1612,134000,45947,10.571316925111784,1525,1
68800,1792,1130,81000,29296,10.940401726734022,1475,2
120800,1792,1155,110000,39987,10.939160041430364,2000,3
53800,1815,977,142000,21887,10.78888599346775,1223,4
65800,1208,1309,149000,14835,10.904229720879732,1591,2
62800,684,1308,127400,16839,10.841657186128725,1046,2
42800,742,368,112123,19589,10.931122859815252,1205,1
278800,586,3321,130,37747,11.891375599226786,1725,1
84800,740,1218,72000,30326,10.74136258577276,1435,3
86888,78,2618,27000,15982,10.073820870018016,1030,1
122888,624,1496,21860,34751,10.315895172210867,1450,1
128888,740,1643,74900,39871,10.653062324394716,1505,2
80880,806,2227,130241,25306,10.408496290980555,1285,5
86800,1196,1370,82000,28742,10.815810422848898,1610,1
89888,624,1704,71213,20887,10.431170293368542,1288,1
51800,1196,365,81300,28652,10.970075836179038,1610,2
67800,682,1008,30000,28643,10.916904995141007,1520,2
11800,1033,373,150123,11465,9.634758073001034,1264,4
57000,1212,1008,129067,18312,10.966524475690317,1540,1
173800,1194,1252,118000,63754,10.78330100460001,1845,2
196800,682,2772,46000,31206,10.821776287072955,1700,2
31800,959,853,141366,14732,9.89957992770511,1232,4
95000,742,1463,123000,28012,10.398458146978019,1365,1
117500,742,2738,9207,18658,10.812552239318544,1280,1
57800,1636,977,150000,23000,10.802754193404487,1530,2
105800,684,1889,118241,26594,10.351437272250447,1324,1
76800,70,2560,9000,14610,9.879911816007422,945,1
33800,806,916,121000,21580,9.959016862328609,1377,6
76800,684,1335,82112,26873,10.768506042432708,1324,2
62888,1210,1253,105000,19442,10.905974329106854,1535,2
106888,3097,2742,106000,73472,10.764603783665628,1855,3
98800,1433,2653,163186,36133,10.661555993479634,1364,6
86888,744,2928,141000,27337,10.746820419859958,1286,5
83500,1194,976,66000,36923,10.950981970025628,1845,1
34800,959,917,138000,14052,9.959016862328609,1267,3
49800,738,1102,68000,14594,10.839404425545462,1295,2
36800,684,397,88000,14673,10.959505443571818,1046,3
52800,976,852,117000,19953,10.561266589258283,1360,1
77800,1630,1008,108000,33098,10.933142683365261,1855,3
84800,682,1830,68000,17705,10.2561494549844,1325,1
72800,624,1131,93000,23704,10.639718168629964,1249,2
96800,392,2618,41000,15461,10.614327292626992,940,2
28800,604,522,105000,17020,11.185809323273041,1485,3
127800,3100,973,98000,47783,10.802754193404487,2090,2
53900,1210,918,81400,21686,10.768695494180967,1454,1
89800,742,2313,78000,15220,10.404232536959167,1289,1
94800,682,2194,20000,18404,10.404262840448617,1067,1
129000,1210,738,133000,70260,10.971657815702502,1680,2
54800,684,1247,73000,18325,10.808312806301005,1096,2
60900,242,1133,32460,19689,10.477372478935242,1249,1
139800,680,3408,1000,15177,11.362102575235644,1110,1
150800,1202,1610,80500,52567,10.72081945637715,1605,2
136800,1202,1491,72000,52567,10.781224548778034,1605,1
89800,1210,1550,67000,24640,10.653062324394716,1626,2
108800,1210,1187,93000,44597,10.880045195196931,1735,2
135800,1210,1737,99000,47135,10.398458146978019,1953,2
50800,506,1099,79000,14804,10.664316745782925,940,4
90800,610,2035,81800,20376,10.5815464756746,1180,1
65888,1208,1252,79000,14721,10.883691610153935,1591,1
104800,682,2740,34370,13991,10.812552239318544,1085,1
46800,578,1008,66000,15913,10.918718232265187,1040,1
62888,1202,613,108088,45353,11.225243392518447,1655,1
73888,1176,1281,109808,26641,10.904211340385112,1557,1
47888,1194,431,59000,41054,11.229089320779604,1790,1
83800,2288,2198,162000,22380,10.401653378155329,1497,3
53888,1210,884,74247,22509,10.561266589258283,1626,1
78366,1210,766,98000,29094,10.948857279808518,1175,1
81800,1023,1856,135991,21323,10.291636938434605,1300,4
83800,740,1497,69000,23295,10.491301994830229,1395,2
84300,742,2103,60000,16509,10.260777307439861,1205,1
111800,1552,2742,170268,40664,10.764603783665628,1550,6
74800,508,1492,50000,22470,10.636264016619267,1120,1
29800,1210,518,120000,17969,11.182878541740678,1535,2
71800,684,765,90000,30895,10.92415631759022,1430,3
81800,738,2005,50000,11763,10.19088208365186,1287,1
97800,682,2561,37000,18253,10.50599861283663,1067,2
57800,508,1369,57000,17532,10.691990366412826,1265,1
153800,1194,2343,37652,34004,10.39821428171237,1790,1
176888,6036,2928,41000,114252,11.011819122265148,1980,5
68800,1202,738,88000,36886,10.971468797650715,1460,2
95800,624,1834,51555,20151,10.561059367582153,1289,1
17800,958,431,181000,24076,9.679593719831214,1080,4
97500,1212,1131,85258,47615,10.87806606028079,1720,1
87800,70,2463,14000,18064,9.661352295040318,1185,1
63800,682,1370,58937,19655,10.469113812768233,1331,2
100858,578,2588,19000,16479,10.757924157061597,1070,1
37800,578,734,101421,12783,10.956073354557526,1020,2
79000,684,1155,132000,30895,10.841715885928185,1430,2
41800,682,858,80000,18865,10.750449642272962,1321,1
70800,738,1640,78000,11607,10.51867319162636,1345,1
101800,682,2684,33809,14262,10.62135173563291,1085,1
58800,682,1098,128105,23634,10.849472999745322,1190,1
11900,930,218,270000,21350,9.54273286919502,1241,4
56788,624,1007,130000,22568,10.87804719253426,1310,4
162800,624,2769,27000,33742,11.03650126792157,1660,1
63000,742,1218,135000,20818,10.821796246953596,1249,3
64288,682,1102,78000,18964,10.753168285910839,1331,1
82500,1202,790,133097,52959,10.915106645867503,1680,1
114900,1210,1708,128000,35897,10.561007555452923,1390,1
104900,684,1615,80000,35132,10.545341438708522,1430,2
70800,684,1339,85000,25281,10.664316745782925,1589,2
308888,2380,1829,6790,91485,10.373522431293592,1985,1
64800,740,366,76552,40283,11.089820688682373,1425,2
110800,392,2555,43217,19508,10.751263869873119,970,1
16800,738,274,137000,13674,11.034728360695965,1295,1
120888,1212,1527,133000,48377,10.757945432978323,1720,2
171888,586,3017,12000,33282,10.950981970025628,1380,1
175800,1210,2340,20700,42518,10.30935258066562,1832,2
126800,684,1980,43400,38362,10.535291102855021,1415,2
117800,586,1885,59000,31557,10.344995251991222,1375,3
194800,2382,1095,113600,80056,10.904229720879732,2180,1
74800,1210,1522,98217,17074,10.957625351102408,1532,1
89800,740,1311,110000,34702,10.904211340385112,1430,3
189800,1210,2066,64000,66093,10.4341158035983,1615,2
96800,682,2225,38000,23271,10.373491181781864,1190,1
70800,740,821,76000,36424,11.002116507732017,1425,2
138800,2382,821,103000,96961,11.020316243790663,1935,2
197800,1210,2560,41938,44437,10.613737640995735,1685,1
300000,2384,2615,47000,83021,10.584055950889214,2135,2
120800,624,1826,35900,23831,10.589811507747948,1288,1
71800,740,1095,94000,24971,10.959679347542483,1395,2
253888,1200,1647,48300,76588,10.566201298475118,1440,2
129800,1176,1467,114000,38070,10.398458146978019,1841,3
115800,1210,2438,55200,21386,10.59685970778737,1514,1
124888,1202,1310,98000,57731,10.883691610153935,1615,1
137888,1210,1700,89000,41483,10.491274217438248,1660,2
41800,740,461,158200,29897,11.097561524682817,1430,2
95800,682,2462,33445,13891,10.41989755459602,1085,1
188000,6036,2773,63000,118560,10.814082091865401,1980,4
209555,2362,1469,90000,79112,10.445259365192133,1850,2
146555,1210,1828,93854,47950,10.561059367582153,1495,1
64800,1210,614,103000,38878,11.225243392518447,1505,4
85800,738,1860,51000,18163,10.239959789157341,1287,1
77800,1638,829,86235,37090,10.959557617938563,1775,1
45300,682,1102,126000,16629,10.849453584720033,1321,3
44800,508,732,103700,18984,10.933124826700707,1222,3
60800,1194,395,69000,40259,11.184463063796828,1420,3
