Price,Road Tax,COE Left,Mileage,OMV,COE Price,Curb Weight,No. Of Owners
199900,1202,2198,60000,50492,41805,7.487173694213739,1
111888,742,2558,68825,18936,45189,7.154615356913663,4
1088,3552,3198,5000,229837,82001,7.44716835960004,1
98800,2382,607,123000,76072,71509,7.489970898834801,2
51800,738,1126,95000,12352,52668,7.20414929203594,2
135500,1202,1612,134000,45947,39000,7.329749689041512,1
68800,1792,1130,81000,29296,56410,7.29641326877392,2
120800,1792,1155,110000,39987,56340,7.600902459542082,3
53800,1815,977,142000,21887,48479,7.109062135687172,4
65800,1208,1309,149000,14835,54406,7.372118028337787,2
62800,684,1308,127400,16839,51106,6.952728644624869,2
42800,742,368,112123,19589,55889,7.094234845924755,1
278800,586,3321,130,37747,146002,7.45298232946546,1
84800,740,1218,72000,30326,46229,7.268920128193722,3
86888,78,2618,27000,15982,23714,6.937314081223682,1
122888,624,1496,21860,34751,30209,7.27931883541462,1
128888,740,1643,74900,39871,42322,7.316548177182976,2
80880,806,2227,130241,25306,33140,7.158513997329321,5
86800,1196,1370,82000,28742,49802,7.383989457978509,1
89888,624,1704,71213,20887,33900,7.160845906664299,1
51800,1196,365,81300,28652,58109,7.383989457978509,2
67800,682,1008,30000,28643,55100,7.326465613840322,2
11800,1033,373,150123,11465,15287,7.142036574706803,4
57000,1212,1008,129067,18312,57903,7.3395376954076745,1
173800,1194,1252,118000,63754,48209,7.520234556474628,2
196800,682,2772,46000,31206,50100,7.438383530044307,2
31800,959,853,141366,14732,19922,7.116394144093465,4
95000,742,1463,123000,28012,32809,7.21890970761906,1
117500,742,2738,9207,18658,49640,7.154615356913663,1
57800,1636,977,150000,23000,49156,7.333023014386481,2
105800,684,1889,118241,26594,31302,7.188412736496954,1
76800,70,2560,9000,14610,19534,6.851184927493743,1
33800,806,916,121000,21580,21142,7.227662498728654,6
76800,684,1335,82112,26873,47501,7.188412736496954,2
62888,1210,1253,105000,19442,54501,7.336285660021297,2
106888,3097,2742,106000,73472,47316,7.5256399750415355,3
98800,1433,2653,163186,36133,42683,7.218176838403408,6
86888,744,2928,141000,27337,46482,7.1592919047975645,5
83500,1194,976,66000,36923,57010,7.520234556474628,1
34800,959,917,138000,14052,21142,7.144407180321139,3
49800,738,1102,68000,14594,50991,7.166265974133638,2
36800,684,397,88000,14673,57498,6.952728644624869,3
52800,976,852,117000,19953,38610,7.215239978730097,1
77800,1630,1008,108000,33098,56002,7.5256399750415355,3
84800,682,1830,68000,17705,28457,7.1891677384203225,1
72800,624,1131,93000,23704,41761,7.130098510125578,2
96800,392,2618,41000,15461,40714,6.84587987526405,2
28800,604,522,105000,17020,72100,7.3031700512368,3
127800,3100,973,98000,47783,49156,7.644919344958857,2
53900,1210,918,81400,21686,47510,7.282073658093465,1
89800,742,2313,78000,15220,32999,7.161622002939187,1
94800,682,2194,20000,18404,33000,6.9726062513017535,1
129000,1210,738,133000,70260,58201,7.426549072397305,2
54800,684,1247,73000,18325,49430,6.999422467507961,2
60900,242,1133,32460,19689,35503,7.130098510125578,1
139800,680,3408,1000,15177,86000,7.01211529430638,1
150800,1202,1610,80500,52567,45289,7.380879035564116,2
136800,1202,1491,72000,52567,48109,7.380879035564116,1
89800,1210,1550,67000,24640,42322,7.3938782901077555,2
108800,1210,1187,93000,44597,53106,7.45876269238096,2
135800,1210,1737,99000,47135,32809,7.577121930876679,2
50800,506,1099,79000,14804,42801,6.84587987526405,4
90800,610,2035,81800,20376,39401,7.07326971745971,1
65888,1208,1252,79000,14721,53300,7.372118028337787,1
104800,682,2740,34370,13991,49640,6.98933526597456,1
46800,578,1008,66000,15913,55200,6.946975992135418,1
62888,1202,613,108088,45353,75000,7.411556287811163,1
73888,1176,1281,109808,26641,54405,7.350516171833998,1
47888,1194,431,59000,41054,75289,7.489970898834801,1
83800,2288,2198,162000,22380,32914,7.311218384419629,3
53888,1210,884,74247,22509,38610,7.3938782901077555,1
78366,1210,766,98000,29094,56889,7.069023426578259,1
81800,1023,1856,135991,21323,29485,7.170119543449628,4
83800,740,1497,69000,23295,36001,7.240649694255466,2
84300,742,2103,60000,16509,28589,7.094234845924755,1
111800,1552,2742,170268,40664,47316,7.346010209913293,6
74800,508,1492,50000,22470,41617,7.02108396428914,1
29800,1210,518,120000,17969,71889,7.336285660021297,2
71800,684,765,90000,30895,55501,7.265429723253953,3
81800,738,2005,50000,11763,26659,7.160069207596127,1
97800,682,2561,37000,18253,36534,6.9726062513017535,2
