Road Tax,OMV,Curb Weight,Mileage,COE Left,Price,COE Price,No. Of Owners
1202,50492,1785,60000,2198,199900,41805,1
742,18936,1280,68825,2558,111888,45189,4
3552,229837,1715,5000,3198,1088,82001,1
2382,76072,1790,123000,607,98800,71509,2
738,12352,1345,95000,1126,51800,52668,2
1202,45947,1525,134000,1612,135500,39000,1
1792,29296,1475,81000,1130,68800,56410,2
1792,39987,2000,110000,1155,120800,56340,3
1815,21887,1223,142000,977,53800,48479,4
1208,14835,1591,149000,1309,65800,54406,2
684,16839,1046,127400,1308,62800,51106,2
742,19589,1205,112123,368,42800,55889,1
586,37747,1725,130,3321,278800,146002,1
740,30326,1435,72000,1218,84800,46229,3
78,15982,1030,27000,2618,86888,23714,1
624,34751,1450,21860,1496,122888,30209,1
740,39871,1505,74900,1643,128888,42322,2
806,25306,1285,130241,2227,80880,33140,5
1196,28742,1610,82000,1370,86800,49802,1
624,20887,1288,71213,1704,89888,33900,1
1196,28652,1610,81300,365,51800,58109,2
682,28643,1520,30000,1008,67800,55100,2
1033,11465,1264,150123,373,11800,15287,4
1212,18312,1540,129067,1008,57000,57903,1
1194,63754,1845,118000,1252,173800,48209,2
682,31206,1700,46000,2772,196800,50100,2
959,14732,1232,141366,853,31800,19922,4
742,28012,1365,123000,1463,95000,32809,1
742,18658,1280,9207,2738,117500,49640,1
1636,23000,1530,150000,977,57800,49156,2
684,26594,1324,118241,1889,105800,31302,1
70,14610,945,9000,2560,76800,19534,1
806,21580,1377,121000,916,33800,21142,6
684,26873,1324,82112,1335,76800,47501,2
1210,19442,1535,105000,1253,62888,54501,2
3097,73472,1855,106000,2742,106888,47316,3
1433,36133,1364,163186,2653,98800,42683,6
744,27337,1286,141000,2928,86888,46482,5
1194,36923,1845,66000,976,83500,57010,1
959,14052,1267,138000,917,34800,21142,3
738,14594,1295,68000,1102,49800,50991,2
684,14673,1046,88000,397,36800,57498,3
976,19953,1360,117000,852,52800,38610,1
1630,33098,1855,108000,1008,77800,56002,3
682,17705,1325,68000,1830,84800,28457,1
624,23704,1249,93000,1131,72800,41761,2
392,15461,940,41000,2618,96800,40714,2
604,17020,1485,105000,522,28800,72100,3
3100,47783,2090,98000,973,127800,49156,2
1210,21686,1454,81400,918,53900,47510,1
742,15220,1289,78000,2313,89800,32999,1
682,18404,1067,20000,2194,94800,33000,1
1210,70260,1680,133000,738,129000,58201,2
684,18325,1096,73000,1247,54800,49430,2
242,19689,1249,32460,1133,60900,35503,1
680,15177,1110,1000,3408,139800,86000,1
1202,52567,1605,80500,1610,150800,45289,2
1202,52567,1605,72000,1491,136800,48109,1
1210,24640,1626,67000,1550,89800,42322,2
1210,44597,1735,93000,1187,108800,53106,2
1210,47135,1953,99000,1737,135800,32809,2
506,14804,940,79000,1099,50800,42801,4
610,20376,1180,81800,2035,90800,39401,1
1208,14721,1591,79000,1252,65888,53300,1
682,13991,1085,34370,2740,104800,49640,1
578,15913,1040,66000,1008,46800,55200,1
1202,45353,1655,108088,613,62888,75000,1
1176,26641,1557,109808,1281,73888,54405,1
1194,41054,1790,59000,431,47888,75289,1
2288,22380,1497,162000,2198,83800,32914,3
1210,22509,1626,74247,884,53888,38610,1
1210,29094,1175,98000,766,78366,56889,1
1023,21323,1300,135991,1856,81800,29485,4
740,23295,1395,69000,1497,83800,36001,2
742,16509,1205,60000,2103,84300,28589,1
1552,40664,1550,170268,2742,111800,47316,6
508,22470,1120,50000,1492,74800,41617,1
1210,17969,1535,120000,518,29800,71889,2
684,30895,1430,90000,765,71800,55501,3
738,11763,1287,50000,2005,81800,26659,1
682,18253,1067,37000,2561,97800,36534,2
508,17532,1265,57000,1369,57800,44002,1
1194,34004,1790,37652,2343,153800,32801,1
6036,114252,1980,41000,2928,176888,60586,5
1202,36886,1460,88000,738,68800,58190,2
624,20151,1289,51555,1834,95800,38602,1
958,24076,1080,181000,431,17800,15988,4
1212,47615,1720,85258,1131,97500,53001,1
70,18064,1185,14000,2463,87800,15699,1
682,19655,1331,58937,1370,63800,35211,2
578,16479,1070,19000,2588,100858,47001,1
578,12783,1020,101421,734,37800,57301,2
684,30895,1430,132000,1155,79000,51109,2
682,18865,1321,80000,858,41800,46651,1
738,11607,1345,78000,1640,70800,37000,1
682,14262,1085,33809,2684,101800,41001,1
682,23634,1190,128105,1098,58800,51507,1
930,21350,1241,270000,218,11900,13943,4
624,22568,1310,130000,1007,56788,53000,4
624,33742,1660,27000,2769,162800,62100,1
742,20818,1249,135000,1218,63000,50101,3
682,18964,1331,78000,1102,64288,46778,1
1202,52959,1680,133097,790,82500,55001,1
1210,35897,1390,128000,1708,114900,38600,1
684,35132,1430,80000,1615,104900,38000,2
684,25281,1589,85000,1339,70800,42801,2
2380,91485,1985,6790,1829,308888,32001,1
740,40283,1425,76552,366,64800,65501,2
392,19508,970,43217,2555,110800,46689,1
738,13674,1295,137000,274,16800,61990,1
1212,48377,1720,133000,1527,120888,47002,2
586,33282,1380,12000,3017,171888,57010,1
1210,42518,1832,20700,2340,175800,30012,2
684,38362,1415,43400,1980,126800,37620,2
586,31557,1375,59000,1885,117800,31101,3
2382,80056,2180,113600,1095,194800,54406,1
1210,17074,1532,98217,1522,74800,57390,1
740,34702,1430,110000,1311,89800,54405,3
1210,66093,1615,64000,2066,189800,34000,2
682,23271,1190,38000,2225,96800,32000,1
740,36424,1425,76000,821,70800,60001,2
2382,96961,1935,103000,821,138800,61103,2
1210,44437,1685,41938,2560,197800,40690,1
2384,83021,2135,47000,2615,300000,39500,2
624,23831,1288,35900,1826,120800,39728,1
740,24971,1395,94000,1095,71800,57508,2
1200,76588,1440,48300,1647,253888,38801,2
1176,38070,1841,114000,1467,129800,32809,3
1210,21386,1514,55200,2438,115800,40009,1
1202,57731,1615,98000,1310,124888,53300,1
1210,41483,1660,89000,1700,137888,36000,2
