Price,Road Tax,COE Left,Mileage,OMV,COE Price,Curb Weight,No. Of Owners
199900,1202,2198,60000,50492,41805,1785,0.0
111888,742,2558,68825,18936,45189,1280,1.3862943611198906
1088800,3552,3198,5000,229837,82001,1715,0.0
98800,2382,607,123000,76072,71509,1790,0.6931471805599453
51800,738,1126,95000,12352,52668,1345,0.6931471805599453
135500,1202,1612,134000,45947,39000,1525,0.0
68800,1792,1130,81000,29296,56410,1475,0.6931471805599453
120800,1792,1155,110000,39987,56340,2000,1.0986122886681098
53800,1815,977,142000,21887,48479,1223,1.3862943611198906
65800,1208,1309,149000,14835,54406,1591,0.6931471805599453
62800,684,1308,127400,16839,51106,1046,0.6931471805599453
42800,742,368,112123,19589,55889,1205,0.0
278800,586,3321,130,37747,146002,1725,0.0
84800,740,1218,72000,30326,46229,1435,1.0986122886681098
86888,78,2618,27000,15982,23714,1030,0.0
122888,624,1496,21860,34751,30209,1450,0.0
128888,740,1643,74900,39871,42322,1505,0.6931471805599453
80880,806,2227,130241,25306,33140,1285,1.6094379124341003
86800,1196,1370,82000,28742,49802,1610,0.0
89888,624,1704,71213,20887,33900,1288,0.0
51800,1196,365,81300,28652,58109,1610,0.6931471805599453
67800,682,1008,30000,28643,55100,1520,0.6931471805599453
11800,1033,373,150123,11465,15287,1264,1.3862943611198906
57000,1212,1008,129067,18312,57903,1540,0.0
173800,1194,1252,118000,63754,48209,1845,0.6931471805599453
196800,682,2772,46000,31206,50100,1700,0.6931471805599453
31800,959,853,141366,14732,19922,1232,1.3862943611198906
95000,742,1463,123000,28012,32809,1365,0.0
117500,742,2738,9207,18658,49640,1280,0.0
57800,1636,977,150000,23000,49156,1530,0.6931471805599453
105800,684,1889,118241,26594,31302,1324,0.0
76800,70,2560,9000,14610,19534,945,0.0
33800,806,916,121000,21580,21142,1377,1.791759469228055
76800,684,1335,82112,26873,47501,1324,0.6931471805599453
62888,1210,1253,105000,19442,54501,1535,0.6931471805599453
106888,3097,2742,106000,73472,47316,1855,1.0986122886681098
98800,1433,2653,163186,36133,42683,1364,1.791759469228055
86888,744,2928,141000,27337,46482,1286,1.6094379124341003
83500,1194,976,66000,36923,57010,1845,0.0
34800,959,917,138000,14052,21142,1267,1.0986122886681098
49800,738,1102,68000,14594,50991,1295,0.6931471805599453
36800,684,397,88000,14673,57498,1046,1.0986122886681098
52800,976,852,117000,19953,38610,1360,0.0
77800,1630,1008,108000,33098,56002,1855,1.0986122886681098
84800,682,1830,68000,17705,28457,1325,0.0
72800,624,1131,93000,23704,41761,1249,0.6931471805599453
96800,392,2618,41000,15461,40714,940,0.6931471805599453
28800,604,522,105000,17020,72100,1485,1.0986122886681098
127800,3100,973,98000,47783,49156,2090,0.6931471805599453
53900,1210,918,81400,21686,47510,1454,0.0
89800,742,2313,78000,15220,32999,1289,0.0
94800,682,2194,20000,18404,33000,1067,0.0
129000,1210,738,133000,70260,58201,1680,0.6931471805599453
54800,684,1247,73000,18325,49430,1096,0.6931471805599453
60900,242,1133,32460,19689,35503,1249,0.0
139800,680,3408,1000,15177,86000,1110,0.0
150800,1202,1610,80500,52567,45289,1605,0.6931471805599453
136800,1202,1491,72000,52567,48109,1605,0.0
89800,1210,1550,67000,24640,42322,1626,0.6931471805599453
108800,1210,1187,93000,44597,53106,1735,0.6931471805599453
135800,1210,1737,99000,47135,32809,1953,0.6931471805599453
50800,506,1099,79000,14804,42801,940,1.3862943611198906
90800,610,2035,81800,20376,39401,1180,0.0
65888,1208,1252,79000,14721,53300,1591,0.0
104800,682,2740,34370,13991,49640,1085,0.0
46800,578,1008,66000,15913,55200,1040,0.0
62888,1202,613,108088,45353,75000,1655,0.0
73888,1176,1281,109808,26641,54405,1557,0.0
47888,1194,431,59000,41054,75289,1790,0.0
83800,2288,2198,162000,22380,32914,1497,1.0986122886681098
53888,1210,884,74247,22509,38610,1626,0.0
78366,1210,766,98000,29094,56889,1175,0.0
81800,1023,1856,135991,21323,29485,1300,1.3862943611198906
83800,740,1497,69000,23295,36001,1395,0.6931471805599453
84300,742,2103,60000,16509,28589,1205,0.0
111800,1552,2742,170268,40664,47316,1550,1.791759469228055
74800,508,1492,50000,22470,41617,1120,0.0
29800,1210,518,120000,17969,71889,1535,0.6931471805599453
71800,684,765,90000,30895,55501,1430,1.0986122886681098
81800,738,2005,50000,11763,26659,1287,0.0
97800,682,2561,37000,18253,36534,1067,0.6931471805599453
57800,508,1369,57000,17532,44002,1265,0.0
153800,1194,2343,37652,34004,32801,1790,0.0
176888,6036,2928,41000,114252,60586,1980,1.6094379124341003
68800,1202,738,88000,36886,58190,1460,0.6931471805599453
95800,624,1834,51555,20151,38602,1289,0.0
17800,958,431,181000,24076,15988,1080,1.3862943611198906
97500,1212,1131,85258,47615,53001,1720,0.0
87800,70,2463,14000,18064,15699,1185,0.0
63800,682,1370,58937,19655,35211,1331,0.6931471805599453
100858,578,2588,19000,16479,47001,1070,0.0
37800,578,734,101421,12783,57301,1020,0.6931471805599453
79000,684,1155,132000,30895,51109,1430,0.6931471805599453
41800,682,858,80000,18865,46651,1321,0.0
70800,738,1640,78000,11607,37000,1345,0.0
101800,682,2684,33809,14262,41001,1085,0.0
58800,682,1098,128105,23634,51507,1190,0.0
11900,930,218,270000,21350,13943,1241,1.3862943611198906
56788,624,1007,130000,22568,53000,1310,1.3862943611198906
162800,624,2769,27000,33742,62100,1660,0.0
63000,742,1218,135000,20818,50101,1249,1.0986122886681098
64288,682,1102,78000,18964,46778,1331,0.0
82500,1202,790,133097,52959,55001,1680,0.0
114900,1210,1708,128000,35897,38600,1390,0.0
104900,684,1615,80000,35132,38000,1430,0.6931471805599453
70800,684,1339,85000,25281,42801,1589,0.6931471805599453
308888,2380,1829,6790,91485,32001,1985,0.0
64800,740,366,76552,40283,65501,1425,0.6931471805599453
110800,392,2555,43217,19508,46689,970,0.0
16800,738,274,137000,13674,61990,1295,0.0
120888,1212,1527,133000,48377,47002,1720,0.6931471805599453
171888,586,3017,12000,33282,57010,1380,0.0
