Price,Road Tax,COE Left,Mileage,OMV,COE Price,Curb Weight,No. Of Owners
199900,1202,2198,60000,10.829570186872752,41805,1785,1
111888,742,2558,68825,9.84882015119382,45189,1280,4
1088,3552,3198,5000,12.345125641009684,82001,1715,1
98800,2382,607,123000,11.23943553921928,71509,1790,2
51800,738,1126,95000,9.421573272264558,52668,1345,2
135500,1202,1612,134000,10.735243837295545,39000,1525,1
68800,1792,1130,81000,10.285206266914292,56410,1475,2
120800,1792,1155,110000,10.596309680272128,56340,2000,3
53800,1815,977,142000,9.993648132244084,48479,1223,4
65800,1208,1309,149000,9.604744532724922,54406,1591,2
62800,684,1308,127400,9.73145290361031,51106,1046,2
42800,742,368,112123,9.8827234631834,55889,1205,1
278800,586,3321,130,10.538661281320572,146002,1725,1
84800,740,1218,72000,10.319760709360885,46229,1435,3
86888,78,2618,27000,9.679218367934409,23714,1030,1
122888,624,1496,21860,10.455963627557306,30209,1450,1
128888,740,1643,74900,10.593404521575788,42322,1505,2
80880,806,2227,130241,10.138796800749208,33140,1285,5
86800,1196,1370,82000,10.266114746634193,49802,1610,1
89888,624,1704,71213,9.946882234855318,33900,1288,1
51800,1196,365,81300,10.262978527734342,58109,1610,2
67800,682,1008,30000,10.262664364192181,55100,1520,2
11800,1033,373,150123,9.347054195292005,15287,1264,4
57000,1212,1008,129067,9.815311861632402,57903,1540,1
173800,1194,1252,118000,11.06278720615032,48209,1845,2
196800,682,2772,46000,10.348365663001127,50100,1700,2
31800,959,853,141366,9.597777277564957,19922,1232,4
95000,742,1463,123000,10.240388268775408,32809,1365,1
117500,742,2738,9207,9.834030287520907,49640,1280,1
57800,1636,977,150000,10.043249494911286,49156,1530,2
105800,684,1889,118241,10.188440905416652,31302,1324,1
76800,70,2560,9000,9.589461504744746,19534,945,1
33800,806,916,121000,9.979522238812125,21142,1377,6
76800,684,1335,82112,10.198877344056111,47501,1324,2
62888,1210,1253,105000,9.875190953381015,54501,1535,2
106888,3097,2742,106000,11.204659660239184,47316,1855,3
98800,1433,2653,163186,10.494961854184771,42683,1364,6
86888,744,2928,141000,10.215996374922929,46482,1286,5
83500,1194,976,66000,10.516589942087034,57010,1845,1
34800,959,917,138000,9.550520013385718,21142,1267,3
49800,738,1102,68000,9.588365764325566,50991,1295,2
36800,684,397,88000,9.593764349207467,57498,1046,3
52800,976,852,117000,9.90113478695253,38610,1360,1
77800,1630,1008,108000,10.407228136578889,56002,1855,3
84800,682,1830,68000,9.781602364546004,28457,1325,1
72800,624,1131,93000,10.073399089253401,41761,1249,2
96800,392,2618,41000,9.646076003102594,40714,940,2
28800,604,522,105000,9.742144402127366,72100,1485,3
127800,3100,973,98000,10.774425206686043,49156,2090,2
53900,1210,918,81400,9.984422170032127,47510,1454,1
89800,742,2313,78000,9.630365631415676,32999,1289,1
94800,682,2194,20000,9.82032331127536,33000,1067,1
129000,1210,738,133000,11.159957925819818,58201,1680,2
54800,684,1247,73000,9.816021526754852,49430,1096,2
60900,242,1133,32460,9.887815383141833,35503,1249,1
139800,680,3408,1000,9.627536402960045,86000,1110,1
150800,1202,1610,80500,10.869843825417005,45289,1605,2
136800,1202,1491,72000,10.869843825417005,48109,1605,1
89800,1210,1550,67000,10.112126417647456,42322,1626,2
108800,1210,1187,93000,10.7054218711718,53106,1735,2
135800,1210,1737,99000,10.760771103830251,32809,1953,2
50800,506,1099,79000,9.602652693506046,42801,940,4
90800,610,2035,81800,9.922113016659292,39401,1180,1
65888,1208,1252,79000,9.597030324758013,53300,1591,1
104800,682,2740,34370,9.546169544733285,49640,1085,1
46800,578,1008,66000,9.674891664210184,55200,1040,1
62888,1202,613,108088,10.72223160550527,75000,1655,1
73888,1176,1281,109808,10.190206661487347,54405,1557,1
47888,1194,431,59000,10.622643552277124,75289,1790,1
83800,2288,2198,162000,10.015922981865916,32914,1497,3
53888,1210,884,74247,10.02167050821384,38610,1626,1
78366,1210,766,98000,10.278287246333408,56889,1175,1
81800,1023,1856,135991,9.967541581326234,29485,1300,4
83800,740,1497,69000,10.055994024250897,36001,1395,2
84300,742,2103,60000,9.711660965727868,28589,1205,1
111800,1552,2742,170268,10.61309845912674,47316,1550,6
74800,508,1492,50000,10.019936365179374,41617,1120,1
29800,1210,518,120000,9.796403329926454,71889,1535,2
71800,684,765,90000,10.33834963749508,55501,1430,3
81800,738,2005,50000,9.372714290960442,26659,1287,1
97800,682,2561,37000,9.812084729062784,36534,1067,2
57800,508,1369,57000,9.7717830615387,44002,1265,1
153800,1194,2343,37652,10.434233443737249,32801,1790,1
176888,6036,2928,41000,11.646161814073691,60586,1980,5
68800,1202,738,88000,10.51558735424275,58190,1460,2
95800,624,1834,51555,9.911009193934975,38602,1289,1
17800,958,431,181000,10.088970772667661,15988,1080,4
97500,1212,1131,85258,10.770903116628146,53001,1720,1
87800,70,2463,14000,9.801676286389442,15699,1185,1
63800,682,1370,58937,9.88608703785596,35211,1331,2
100858,578,2588,19000,9.70984212201073,47001,1070,1
37800,578,734,101421,9.455871442168021,57301,1020,2
79000,684,1155,132000,10.33834963749508,51109,1430,2
41800,682,858,80000,9.84506363239841,46651,1321,1
70800,738,1640,78000,9.359363643368622,37000,1345,1
101800,682,2684,33809,9.565353936588249,41001,1085,1
58800,682,1098,128105,10.07044163219896,51507,1190,1
11900,930,218,270000,9.96880701865677,13943,1241,4
56788,624,1007,130000,10.024288252681833,53000,1310,4
162800,624,2769,27000,10.42649863116592,62100,1660,1
63000,742,1218,135000,9.943573276075414,50101,1249,3
64288,682,1102,78000,9.85029772402201,46778,1331,1
82500,1202,790,133097,10.877273308257394,55001,1680,1
114900,1210,1708,128000,10.488409005524973,38600,1390,1
104900,684,1615,80000,10.466867675037008,38000,1430,2
