Brand,Price,Depreciation,Road Tax,Registration Date,COE Left,Mileage,Manufacture Year,Transmission,Deregistration,OMV,ARF,COE Price,Engine Capacity,Power,Curb Weight,No. Of Owners,Vehicle Type
BMW,45800,17150,684,30-Sep-2015,404,111000,2015,Auto,25177,26376,23927,61010,1499,100.0,1360,3,Hatchback
Volkswagen,14000,13460,620,14-May-2014,213,115000,2013,Auto,9586,21478,12070,60002,1390,90.0,1417,2,Mid-Sized Sedan
Nissan,44800,13870,508,28-Oct-2016,1102,88000,2016,Auto,18799,14938,5000,50991,1198,72.0,1081,1,Hatchback
BMW,75800,17820,684,01-Feb-2017,1186,90800,2016,Auto,40186,33244,33542,55501,1499,100.0,1550,2,MPV
Volkswagen,39888,15910,624,29-Dec-2015,798,110000,2015,Auto,17545,19158,9158,54301,1395,90.0,1249,2,Hatchback
Volkswagen,112800,15530,976,31-Dec-2019,2250,59000,2019,Auto,46536,28711,32196,37989,1798,132.0,1480,2,Luxury Sedan
Hyundai,60800,14070,738,24-Aug-2017,1098,95000,2017,Auto,26363,12698,12698,46778,1591,93.8,1345,1,Mid-Sized Sedan
Volkswagen,82800,14890,624,31-Aug-2018,1460,77500,2018,Auto,29885,19883,19883,32809,1395,92.0,1270,1,Hatchback
Honda,58800,15740,684,09-Feb-2017,1194,98200,2016,Auto,25188,17647,12647,50889,1498,96.0,1046,1,Hatchback
Mercedes-Benz,58800,24050,1202,02-Jun-2015,577,97000,2015,Auto,32157,40369,38517,66751,1991,135.0,1465,1,Luxury Sedan
Audi,96800,15130,3772,03-Mar-2010,2310,53000,2009,Auto,22657,53747,53747,35416,3197,195.0,1570,5,Sports Car
Mercedes-Benz,200988,22820,586,23-Aug-2021,2557,28000,2021,Auto,67991,36284,42798,45600,1332,96.0,1550,1,SUV
Honda,37800,16300,682,29-Oct-2015,738,128000,2015,Auto,16990,18719,8719,57301,1496,96.0,1190,1,SUV
Volkswagen,33800,15990,508,21-Aug-2015,365,130000,2015,Auto,14893,18038,8038,56209,1197,77.0,1229,3,Hatchback
Toyota,13800,11470,958,23-Dec-2009,427,180000,2009,Auto,3846,12717,12717,15988,1497,80.0,1095,4,Mid-Sized Sedan
Mercedes-Benz,103800,18580,740,26-Jun-2018,1705,61500,2018,Auto,41109,28937,32512,38941,1595,90.0,1435,4,Hatchback
Jaguar,284000,34610,1210,08-Aug-2020,2468,21800,2019,Auto,95288,68448,95207,34989,1997,221.0,1596,3,Sports Car
Mercedes-Benz,55000,41980,740,27-Oct-2014,371,103098,2014,Auto,18757,28669,22137,62890,1595,90.0,1430,2,Luxury Sedan
Mercedes-Benz,64900,24590,740,03-Sep-2015,368,93448,2015,Auto,31568,35294,36412,60789,1595,115.0,1425,1,Luxury Sedan
Mercedes-Benz,48200,17830,740,05-Nov-2015,735,128000,2015,Auto,24997,25384,22538,55399,1595,90.0,1425,3,Hatchback
Toyota,46200,15190,742,04-Mar-2016,851,103859,2015,Auto,22937,19589,19589,46651,1598,90.0,1205,2,Mid-Sized Sedan
Nissan,44588,14950,742,19-Mar-2016,888,95030,2015,Auto,21145,16283,16283,46651,1598,85.0,1205,3,Mid-Sized Sedan
Mazda,97500,12900,682,12-Aug-2020,2191,54126,2019,Auto,36483,18543,18543,33000,1496,85.0,1067,1,Hatchback
Toyota,103800,13710,682,26-Oct-2020,2560,20919,2020,Auto,37109,14402,14402,37334,1496,79.0,1085,1,Mid-Sized Sedan
Mazda,126500,17150,1210,22-Jun-2020,2431,42692,2019,Auto,37469,22250,23150,32500,1998,121.0,1576,1,SUV
