Listing ID,Listing URL,Brand,Price,Depreciation,Road Tax,Registration Date,COE Left,Mileage,Manufacture Year,Transmission,Deregistration,OMV,ARF,COE Price,Engine Capacity,Power,Curb Weight,No. Of Owners,Vehicle Type
1238202,https://www.sgcarmart.com/used_cars/info.php?ID=1238202,Rolls-Royce,1068000,240680,8004,27-Jul-16,1002,22932,2016,Auto,493813,458096,796573,57010,6592,420,2560,3,Sports Car
1238440,https://www.sgcarmart.com/used_cars/info.php?ID=1238440,Porsche,1080000,106040,3944,10-Mar-22,3044,4000,2021,Manual,346320,224531,376156,85000,3996,375,1493,1,Sports Car
1239778,https://www.sgcarmart.com/used_cars/info.php?ID=1239778,Porsche,1088000,102070,3552,22-Jul-22,3198,5000,2022,Auto,361261,229837,385707,82001,3745,478,1715,1,Sports Car
1239224,https://www.sgcarmart.com/used_cars/info.php?ID=1239224,Ferrari,1100000,94790,3724,6-Aug-22,3192,6800,2022,Auto,491100,267308,528078,107800,3855,456,1580,1,Sports Car
1220320,https://www.sgcarmart.com/used_cars/info.php?ID=1220320,Ferrari,1128000,97870,3724,19-Aug-22,2924,600,2022,Auto,487436,264855,522681,107800,3855,456,1570,1,Sports Car
1221082,https://www.sgcarmart.com/used_cars/info.php?ID=1221082,McLaren,1168000,107050,3940,25-Feb-23,3406,1000,2022,Auto,335969,176719,328782,114009,3994,456,1603,1,Sports Car
1234958,https://www.sgcarmart.com/used_cars/info.php?ID=1234958,Rolls-Royce,1180000,196220,8004,5-Oct-17,1125,6900,2016,Auto,538337,459377,798879,48005,6592,420,2560,3,Sports Car
1212172,https://www.sgcarmart.com/used_cars/info.php?ID=1212172,Bentley,1258000,104410,3944,13-Jun-23,3504,100,2022,Auto,475663,253733,498213,105501,3996,404,2255,1,Luxury Sedan
1183645,https://www.sgcarmart.com/used_cars/info.php?ID=1183645,Ferrari,1260000,105950,3724,17-Mar-23,3438,20,2022,Auto,494989,264398,521676,110000,3855,456,1675,1,Sports Car
959875,https://www.sgcarmart.com/used_cars/info.php?ID=959875,Porsche,1300000,150190,3944,11-Nov-20,2562,120,2019,Manual,380886,278169,472705,40301,3996,375,1465,1,Sports Car
1093126,https://www.sgcarmart.com/used_cars/info.php?ID=1093126,Rolls-Royce,1480000,144290,8250,18-Jul-21,2828,10000,2021,Auto,577253,415198,719357,57700,6749,420,2490,1,Luxury Sedan
1206488,https://www.sgcarmart.com/used_cars/info.php?ID=1206488,Lamborghini,1510000,131680,5834,24-Mar-23,3435,36,2022,Auto,502501,268823,531411,110000,5204,470,1450,1,Sports Car
