ID,Model,Prices,Depreciation,Reg Date,Eng Cap,Mileage,Vehicle Type
1237719,Kia Cerato 1.6A EX,83888.0,13510.0,2019-06-07,1591,76000,Sedan
1237732,Toyota Vios 1.5A E (COE till 01/2025),17000.0,13400.0,2010-01-12,1497,200000,Sedan
1228565,McLaren 720S,1380000.0,141330.0,2021-10-19,3994,22000,Sports
1225794,BMW 5 Series 535i Gran Turismo Sunroof (COE till 09/2030),108998.0,15600.0,2010-11-01,2979,259978,Luxury
1237738,Audi A4 2.0A TFSI S-tronic,109000.0,17700.0,2018-10-31,1984,109000,Luxury
1210665,Volkswagen Tiguan 2.0A TSI (COE till 12/2025),30800.0,13950.0,2010-12-21,1984,98987,SUV
1171136,BMW M3 Sedan Competition Package,253500.0,49440.0,2017-08-31,2979,41000,Sports
1214834,Honda Fit 1.3A,122000.0,14060.0,2022-04-04,1317,52000,Hatchback
1179827,Suzuki Every Turbo,80288.0,9580.0,2022-02-22,658,13500,Van
1189479,Mercedes-Benz E-Class E250,45800.0,28280.0,2014-06-16,1991,119000,Luxury
1232905,McLaren 765LT,1820000.0,203210.0,2021-07-08,3994,3100,Sports
904814,Honda Jazz 1.5A L,32800.0,20390.0,2015-03-30,1498,140000,Hatchback
1173389,Mercedes-Benz 280S (COE till 04/2025),108998.0,69670.0,1969-05-02,2778,32113,Luxury
1215165,Mazda 5 2.0A Sunroof,66000.0,27710.0,2015-10-08,1998,105000,MPV
1237739,Volkswagen T-Cross 1.0A TSI R-Line,128888.0,15860.0,2021-02-24,999,21000,SUV
1149441,Mercedes-Benz GLA-Class GLA180,78800.0,19890.0,2017-01-13,1595,83000,SUV
1233308,Nissan Note e-POWER Hybrid 1.2A Premium,122888.0,13770.0,2022-06-18,1198,31000,Hatchback
1237727,Hyundai i30 Wagon 1.4A T-GDi DCT Turbo,83500.0,14880.0,2018-09-20,1353,95649,Stationwagon
1237736,Kia Cerato Forte 1.6M EX (COE till 10/2024),12800.0,12100.0,2009-10-27,1591,137000,Sedan
1093404,Hyundai Elantra 1.6A GLS S,49800.0,13780.0,2016-11-19,1591,112792,Sedan
1202490,Audi Q2 1.4A TFSI CoD S-tronic,113000.0,17530.0,2019-03-29,1395,85649,SUV
